Image_Name,License_Plate
frame_0332_plate.jpg,LeYeINBG
frame_0333_plate.jpg,EendG
frame_0334_plate.jpg,Exsindq
frame_0335_plate.jpg,EExeindG
frame_0336_plate.jpg,Exeinbg
frame_0337_plate.jpg,Eeysinbg
frame_0338_plate.jpg,Eexeiinbg
frame_0339_plate.jpg,Eeinbq
frame_0340_plate.jpg,LEYeINbq
frame_0341_plate.jpg,LexeInbG
frame_0342_plate.jpg,Evsinbg
frame_0343_plate.jpg,EEGINBG)
frame_0344_plate.jpg,LeleinbG
frame_0345_plate.jpg,LEYGINBG
frame_0346_plate.jpg,Leyeinbg
frame_0347_plate.jpg,LEXGINBG
frame_0348_plate.jpg,LEyeINBG
frame_0349_plate.jpg,LEYGLNBG
frame_0350_plate.jpg,LEXGLLNBG
frame_0351_plate.jpg,LEeinbg
frame_0352_plate.jpg,Leeinbq
frame_0353_plate.jpg,LEyeInBG
frame_0354_plate.jpg,No Text Detected
frame_0355_plate.jpg,No Text Detected
frame_0356_plate.jpg,hA
frame_0357_plate.jpg,Ecnnnn
frame_0358_plate.jpg,Avde HV
frame_0359_plate.jpg,4vo8 HMF
frame_0360_plate.jpg,Lvqb HuE
frame_0361_plate.jpg,LVpbhve
frame_0362_plate.jpg,Lqb HVE
frame_0363_plate.jpg,HNII
frame_0364_plate.jpg,LpBHHVE
frame_0365_plate.jpg,LpbHVE
frame_0366_plate.jpg,HNMAI
frame_0367_plate.jpg,LpBHHVE
frame_0368_plate.jpg,No Text Detected
frame_0369_plate.jpg,No Text Detected
frame_0370_plate.jpg,hC
frame_0371_plate.jpg,No Text Detected
frame_0372_plate.jpg,No Text Detected
frame_0373_plate.jpg,No Text Detected
frame_0374_plate.jpg,No Text Detected
frame_0375_plate.jpg,No Text Detected
frame_0376_plate.jpg,No Text Detected
frame_0377_plate.jpg,No Text Detected
frame_0378_plate.jpg,No Text Detected
frame_0379_plate.jpg,No Text Detected
frame_0380_plate.jpg,No Text Detected
frame_0381_plate.jpg,HHL
frame_0382_plate.jpg,L
frame_0383_plate.jpg,M
frame_0384_plate.jpg,Kach
frame_0385_plate.jpg,No Text Detected
frame_0386_plate.jpg,No Text Detected
frame_0387_plate.jpg,No Text Detected
frame_0388_plate.jpg,No Text Detected
frame_0389_plate.jpg,No Text Detected
frame_0390_plate.jpg,[G6suS
frame_0391_plate.jpg,No Text Detected
frame_0392_plate.jpg,BC65
frame_0393_plate.jpg,[Ges SU
frame_0394_plate.jpg,pgssuu5
frame_0395_plate.jpg,0q65u5
frame_0396_plate.jpg,@Ges u5
frame_0397_plate.jpg,@Gesuu5
frame_0398_plate.jpg,pgesub]
frame_0399_plate.jpg,Iec55 US
frame_0400_plate.jpg,BCESVS
frame_0401_plate.jpg,BCESVS
frame_0402_plate.jpg,0C6BU5
frame_0403_plate.jpg,0cBSUS
frame_0404_plate.jpg,CobsuS
frame_0405_plate.jpg,DEe5u5]
frame_0406_plate.jpg,dgbsu5]
frame_0407_plate.jpg,0Gesu5
frame_0408_plate.jpg,BGES US
frame_0409_plate.jpg,[GeS US
frame_0410_plate.jpg,0GEEU5
frame_0411_plate.jpg,pGe5u5]
frame_0412_plate.jpg,bg65u5]
frame_0413_plate.jpg,Bg6S U5
frame_0414_plate.jpg,@gebu5]
frame_0415_plate.jpg,pG6S US J
frame_0416_plate.jpg,MTq
frame_0417_plate.jpg,0gesu5]
frame_0418_plate.jpg,0ge5u5]
frame_0419_plate.jpg,BGELS J
frame_0420_plate.jpg,Lbg65 US J
frame_0421_plate.jpg,[bgesLS J
frame_0422_plate.jpg,BGEEL]
frame_0423_plate.jpg,pGes us]
frame_0424_plate.jpg,pG6suS]
frame_0425_plate.jpg,pG65S]
frame_0426_plate.jpg,BG6S USJ
frame_0427_plate.jpg,0ges u5]
frame_0428_plate.jpg,pg6sus]
frame_0429_plate.jpg,pG6S USJ
frame_0430_plate.jpg,[G65 USJ
frame_0431_plate.jpg,bge5u5]
frame_0432_plate.jpg,[BC65 UsJ
frame_0433_plate.jpg,pg6suu5]
frame_0434_plate.jpg,pG6s us]
frame_0435_plate.jpg,pg65 u5]
frame_0436_plate.jpg,Bg65 USJ
frame_0437_plate.jpg,pG6S USJ
frame_0438_plate.jpg,0g6s US]
frame_0439_plate.jpg,pges uS]
frame_0440_plate.jpg,0g65 u5]
frame_0441_plate.jpg,0ge5 u5J
frame_0442_plate.jpg,0Ge5 5]
frame_0443_plate.jpg,0ge5u5]]
frame_0444_plate.jpg,Bge5uu5J
frame_0445_plate.jpg,BG6S US J
frame_0446_plate.jpg,pqbs uS]
frame_0447_plate.jpg,[G6s USJ
frame_0448_plate.jpg,bGb5 USJ
frame_0449_plate.jpg,pG6s us J
frame_0450_plate.jpg,Jab Anky
frame_0451_plate.jpg,pBGes u5]
frame_0452_plate.jpg,BG6S USJ
frame_0453_plate.jpg,Shordi
frame_0454_plate.jpg,No Text Detected
frame_0455_plate.jpg,No Text Detected
frame_0456_plate.jpg,No Text Detected
frame_0457_plate.jpg,No Text Detected
frame_0458_plate.jpg,No Text Detected
frame_0459_plate.jpg,pges u5u
frame_0460_plate.jpg,No Text Detected
frame_0461_plate.jpg,No Text Detected
frame_0462_plate.jpg,BGGSUSJ
frame_0463_plate.jpg,No Text Detected
frame_0464_plate.jpg,No Text Detected
frame_0465_plate.jpg,bges 4BJ
frame_0466_plate.jpg,No Text Detected
frame_0467_plate.jpg,@CESuS
frame_0468_plate.jpg,DOGSUs 
frame_0469_plate.jpg,Bg65 USU
frame_0470_plate.jpg,0qe5u5]
frame_0471_plate.jpg,BC6S USJ
frame_0472_plate.jpg,0g65 US-
frame_0473_plate.jpg,No Text Detected
frame_0474_plate.jpg,No Text Detected
frame_0475_plate.jpg,No Text Detected
frame_0476_plate.jpg,Ab
frame_0477_plate.jpg,Ab4D
frame_0478_plate.jpg,IKB
frame_0479_plate.jpg,Ue4M
frame_0480_plate.jpg,Ued
frame_0481_plate.jpg,LKb4DMD
frame_0482_plate.jpg,AK64@M
frame_0483_plate.jpg,LB4T
frame_0484_plate.jpg,IB
frame_0485_plate.jpg,BID
frame_0486_plate.jpg,neTM
frame_0487_plate.jpg,[M
frame_0488_plate.jpg,LKEw
frame_0489_plate.jpg,LkE
frame_0490_plate.jpg,4BM
frame_0491_plate.jpg,LBD
frame_0492_plate.jpg,LEe4D
frame_0493_plate.jpg,Lkb4d@
frame_0494_plate.jpg,LKb4dM
frame_0495_plate.jpg,[b
frame_0496_plate.jpg,No Text Detected
frame_0497_plate.jpg,4B
frame_0498_plate.jpg,No Text Detected
frame_0499_plate.jpg,WeadM
frame_0500_plate.jpg,Ake4dM
